,Rbin,mean,v,npt
10238,177200,554.3153409090909,1.70,11.0
10239,183300,569.2552083333334,1.70,12.0
10240,182500,2037.9395833333333,1.70,15.0
10241,186800,1542.96328125,1.70,20.0
10242,185300,1423.2727864583333,1.70,24.0
10243,182200,1458.2591145833333,1.70,12.0
10244,191500,-89.796875,1.70,21.0
10245,191100,-49.904138513513516,1.70,37.0
10246,189400,77.40375,1.70,25.0
10247,179900,1759.0513392857142,1.70,7.0
10248,186200,-16.802083333333332,1.70,18.0
10249,185000,870.8017578125,1.70,16.0
10250,186500,185.721875,1.70,20.0
10251,187600,-65.67317708333333,1.70,12.0
10252,186100,1141.015625,1.70,22.0
10253,186400,2500.388980263158,1.70,19.0
10254,186900,586.5338541666666,1.70,18.0
10255,187000,2142.96484375,1.70,20.0
10256,194000,338.2303240740741,1.70,27.0
10257,193100,1762.6436298076924,1.70,26.0
10258,192200,440.171875,1.70,29.0
10259,192400,1715.4813988095239,1.70,21.0
10260,188900,1887.3533653846155,1.70,26.0
10261,188800,544.1827445652174,1.70,23.0
10262,193300,1027.1128472222222,1.70,36.0
10263,193000,2012.3965992647059,1.70,34.0
10264,196500,1636.1203835227273,1.70,44.0
10265,195400,164.9388888888889,1.70,45.0
10266,196100,694.2272321428571,1.70,35.0
10267,197700,482.4231418918919,1.70,37.0
10268,199100,617.6639093137255,1.70,51.0
10269,197600,1139.24875,1.70,25.0
10270,197900,1530.2435897435898,1.70,39.0
10271,192800,887.0203993055555,1.70,36.0
10272,195200,831.60595703125,1.70,32.0
10273,201500,396.84773284313724,1.70,51.0
10274,199900,844.7637117346939,1.70,49.0
10275,205200,910.0137061403509,1.70,57.0
10276,202400,689.2161458333334,1.70,48.0
10277,203700,6.6438210227272725,1.70,44.0
10278,201800,-567.875,1.70,47.0
10279,202700,1713.4823190789473,1.70,38.0
10280,199500,1024.8793604651162,1.70,43.0
10281,207600,453.95472756410254,1.70,39.0
10282,205400,360.953125,1.70,63.0
10283,208600,-1431.576099537037,1.70,54.0
10284,204700,326.4304245283019,1.70,53.0
10285,209100,-105.75529233870968,1.70,62.0
10286,206100,-140.01207386363637,1.70,66.0
10287,203600,548.6378348214286,1.70,56.0
10288,203300,608.4348958333334,1.70,48.0
10289,204500,416.3945806962025,1.70,79.0
10290,197800,1042.7347222222222,1.70,45.0
10291,200100,899.3441220238095,1.70,42.0
10292,202300,542.2879464285714,1.70,70.0
10293,208200,14.216686320754716,1.70,53.0
10294,208000,-159.79380580357142,1.70,56.0
10295,204200,442.4835805084746,1.70,59.0
10296,211200,-1600.3680555555557,1.70,45.0
10297,205300,-238.38712686567163,1.70,67.0
10298,207500,-731.1136853448276,1.70,58.0
10299,208100,-539.7267530487804,1.70,41.0
10300,205100,1800.3996212121212,1.70,66.0
10301,201000,615.6066337719299,1.70,57.0
10302,206000,399.40444711538464,1.70,52.0
10303,204900,840.7832386363636,1.70,55.0
10304,137500,4444.65625,1.70,1.0
10305,142000,7373.625,1.70,1.0
10306,149300,3945.546875,1.70,1.0
10307,153300,3147.5390625,1.70,2.0
10308,157300,3265.96875,1.70,3.0
10309,158300,4574.833333333333,1.70,3.0
10310,171100,518.278125,1.70,5.0
10311,166900,1033.353125,1.70,5.0
10312,167400,544.7552083333334,1.70,3.0
10313,165400,3548.3385416666665,1.70,6.0
10314,172500,1709.6803977272727,1.70,11.0
10315,173300,629.595703125,1.70,8.0
10316,174700,2119.3836805555557,1.70,9.0
10317,176200,1916.1454326923076,1.70,13.0
10318,175800,1248.158203125,1.70,8.0
10319,176800,1390.693359375,1.70,8.0
10320,178900,2512.0078125,1.70,4.0
10321,182800,-340.1109375,1.70,20.0
10322,181700,1011.1127232142857,1.70,14.0
10323,188000,751.5973557692307,1.70,26.0
10324,183100,1518.3413461538462,1.70,13.0
10325,184700,1169.5564903846155,1.70,13.0
10326,189000,-41.541666666666664,1.70,27.0
10327,184000,2482.6626838235293,1.70,17.0
10328,188300,-756.265625,1.70,23.0
10329,191000,-596.9334677419355,1.70,31.0
10330,188400,2207.451766304348,1.70,23.0
10331,188700,766.4375,1.70,21.0
10332,191400,203.01141826923077,1.70,26.0
10333,199400,1137.2406850961538,1.70,52.0
10334,196300,687.7663352272727,1.70,44.0
10335,191600,1220.94140625,1.70,28.0
10336,198300,-35.670877659574465,1.70,47.0
10337,195000,1135.2745535714287,1.70,42.0
10338,198800,1224.8987630208333,1.70,48.0
10339,196900,968.3902027027027,1.70,37.0
10340,193400,853.7107007575758,1.70,33.0
10341,205700,381.36375,1.70,75.0
10342,204300,54.94831730769231,1.70,52.0
10343,197200,942.5103058510638,1.70,47.0
10344,203000,784.9293981481482,1.70,54.0
10345,196000,2088.0287298387098,1.70,31.0
10346,204000,25.260168650793652,1.70,63.0
10347,207100,-941.3736111111111,1.70,45.0
10348,200500,-236.65006510416666,1.70,48.0
10349,207800,-222.9972426470588,1.70,51.0
10350,202000,646.9237882653061,1.70,49.0
10351,209400,-465.72291666666666,1.70,45.0
10352,205900,932.6752049180328,1.70,61.0
10353,207200,-820.0173233695652,1.70,46.0
10354,207900,-432.85868055555557,1.70,45.0
10355,206900,-101.37667410714286,1.70,56.0
10356,210300,-599.029725609756,1.70,41.0
10357,205000,315.4536931818182,1.70,55.0
10358,209000,21.39613970588235,1.70,34.0
10359,209900,-724.7819767441861,1.70,43.0
10360,210800,14.333079268292684,1.70,41.0
10361,213200,-1177.3412828947369,1.70,38.0
10362,211900,-975.955,1.70,50.0
10363,206600,-739.8388671875,1.70,48.0
10364,221100,-5200.450520833333,1.70,6.0
10365,208400,-1102.8544407894738,1.70,57.0
10366,143800,7757.71875,1.70,1.0
10367,151500,6449.2578125,1.70,2.0
10368,157400,1694.3125,1.70,1.0
10369,159100,7230.052083333333,1.70,3.0
10370,167100,4364.635416666667,1.70,3.0
10371,167800,1052.6197916666667,1.70,3.0
10372,166000,2337.044921875,1.70,8.0
10373,170900,2270.7526041666665,1.70,6.0
10374,176500,422.81597222222223,1.70,9.0
10375,169700,506.359375,1.70,4.0
10376,174200,844.4776785714286,1.70,7.0
10377,179300,1519.8203125,1.70,4.0
10378,179200,1478.0364583333333,1.70,9.0
10379,181400,665.9006696428571,1.70,14.0
10380,181100,2064.2645089285716,1.70,14.0
10381,177100,2391.2291666666665,1.70,9.0
10382,180700,1271.1840277777778,1.70,9.0
10383,188600,-1034.4136513157894,1.70,19.0
10384,194400,1136.330295138889,1.70,36.0
10385,194900,2321.5561655405404,1.70,37.0
10386,207000,619.6961805555555,1.70,54.0
10387,196700,291.52757352941177,1.70,51.0
10388,205600,-68.68278301886792,1.70,53.0
10389,204100,42.556203358208954,1.70,67.0
10390,208300,-657.3034855769231,1.70,52.0
10391,205800,-655.9637382075472,1.70,53.0
10392,201600,1125.1498940677966,1.70,59.0
10393,209500,-848.2149305555556,1.70,45.0
10394,210400,-1169.8468070652175,1.70,46.0
10395,209700,-347.52734375,1.70,44.0
10396,206800,247.12019230769232,1.70,65.0
10397,212800,-1313.5191964285714,1.70,35.0
10398,209300,90.77291666666666,1.70,60.0
10399,198700,1763.8569972826087,1.70,46.0
10400,211300,-1221.569375,1.70,50.0
10401,213700,-2917.394396551724,1.70,29.0
10402,208500,-373.59457236842104,1.70,57.0
10403,209200,-73.443359375,1.70,48.0
10404,142600,12748.0625,1.70,1.0
10405,155400,3858.28125,1.70,1.0
10406,159200,4483.802083333333,1.70,3.0
10407,165600,3827.8072916666665,1.70,3.0
10408,171200,2652.8489583333335,1.70,3.0
10409,171000,3259.1979166666665,1.70,3.0
10410,178700,2453.895089285714,1.70,7.0
10411,180300,1406.724330357143,1.70,14.0
