,Rbin,std,v_index,npt,v
286,101100,1261.5649761288466,0,94.0,0.70
287,101700,1367.1646758487277,0,63.0,0.70
288,102500,1416.6146842508917,0,64.0,0.70
289,101200,1135.8803821776585,0,101.0,0.70
290,101900,1280.1897825215972,0,95.0,0.70
291,102400,1421.818094348166,0,88.0,0.70
292,102800,1363.5100823373964,0,60.0,0.70
293,102600,1173.1537382143983,0,57.0,0.70
294,105100,1751.5538661985995,0,20.0,0.70
295,103000,1375.6384682441824,0,61.0,0.70
296,104100,1324.3594042783145,0,33.0,0.70
297,102300,1305.087073690953,0,72.0,0.70
298,103400,1225.0007494814765,0,54.0,0.70
299,103100,1458.0748344232074,0,66.0,0.70
300,102900,1208.790404950252,0,53.0,0.70
301,101800,1287.2162569969082,0,84.0,0.70
302,103900,1210.5806894989262,0,46.0,0.70
303,103300,1325.8923252194736,0,56.0,0.70
304,104200,1151.7723074808268,0,40.0,0.70
305,103600,1312.8267629647867,0,49.0,0.70
306,103800,1207.9956759058614,0,44.0,0.70
307,104300,1471.113562395189,0,28.0,0.70
308,104900,1396.1945217222358,0,25.0,0.70
309,107600,1904.226360727226,0,10.0,0.70
310,106300,1445.3714220159104,0,18.0,0.70
311,104000,1085.0546360780158,0,37.0,0.70
312,85000,993.1466383553372,0,17.0,0.70
313,89500,994.5129857162448,0,49.0,0.70
314,98900,1380.4166756053248,0,79.0,0.70
315,98800,1182.135103518071,0,78.0,0.70
316,99900,1231.0095287834731,0,103.0,0.70
317,100000,1172.9563400636537,0,72.0,0.70
318,106200,800.4534991402013,0,20.0,0.70
319,105300,1263.472135682749,0,28.0,0.70
320,105900,1257.9233163494107,0,21.0,0.70
321,105500,1515.2970159377487,0,22.0,0.70
322,104400,1261.3045191686645,0,28.0,0.70
323,104700,1380.4601792732904,0,33.0,0.70
324,106400,1253.362821252748,0,24.0,0.70
325,105400,1385.895000665364,0,24.0,0.70
326,103700,1595.2453094041134,0,38.0,0.70
327,104500,1702.8007342720157,0,34.0,0.70
328,85300,1186.3709834076817,0,23.0,0.70
329,89800,1052.8441500532267,0,47.0,0.70
330,107300,1265.1299417031917,0,9.0,0.70
331,104600,1555.7477233907066,0,33.0,0.70
332,105700,1072.8396935101428,0,16.0,0.70
333,106100,1689.0509291053963,0,22.0,0.70
334,105200,1320.7878093936977,0,26.0,0.70
335,106000,1279.7501012104644,0,19.0,0.70
336,105600,1356.026471405541,0,13.0,0.70
337,105000,1565.6631647360084,0,25.0,0.70
338,104800,1444.7550991922321,0,22.0,0.70
339,107200,1411.2999378923837,0,11.0,0.70
340,81000,1242.0545197974734,0,10.0,0.70
341,87000,1103.6645834225005,0,16.0,0.70
342,84900,1447.1059972188218,0,22.0,0.70
343,84800,715.4594378765775,0,17.0,0.70
344,86200,1352.6060109715397,0,25.0,0.70
345,78500,354.5210005794974,0,4.0,0.70
346,76400,2162.683394960429,0,4.0,0.70
347,74200,,0,1.0,0.70
348,76300,2635.790732710288,0,3.0,0.70
349,83700,1011.436568109583,0,14.0,0.70
350,77000,993.5274671853607,0,5.0,0.70
351,80200,1584.6463446306097,0,7.0,0.70
352,70600,,0,1.0,0.70
353,71900,,0,1.0,0.70
354,74100,,0,1.0,0.70
355,76200,1800.1170882056533,0,2.0,0.70
356,76900,,0,1.0,0.70
357,78300,,0,1.0,0.70
358,77900,2857.258298894726,0,2.0,0.70
359,77200,309.00013910679326,0,2.0,0.70
360,79900,1180.5103309706021,0,5.0,0.70
361,80500,1544.9749015143927,0,3.0,0.70
362,73500,,0,1.0,0.70
363,77100,1076.70306808617,0,3.0,0.70
364,105800,1340.2404666654654,0,21.0,0.70
365,106900,1338.617451593389,0,14.0,0.70
366,107100,1630.6489210107482,0,7.0,0.70
367,107800,1179.308222672818,0,8.0,0.70
368,106700,1326.4339651220146,0,17.0,0.70
369,108300,1289.433323840243,0,15.0,0.70
370,108400,1482.0049718915554,0,9.0,0.70
371,107400,1114.6457360240283,0,9.0,0.70
372,107900,629.1252528558399,0,6.0,0.70
373,108700,666.0801119944075,0,5.0,0.70
374,107000,1462.410002225724,0,17.0,0.70
375,106600,1716.2641729760137,0,17.0,0.70
376,106800,1498.2595133701102,0,20.0,0.70
377,106500,989.0760575151518,0,11.0,0.70
378,107500,1440.3801421378494,0,17.0,0.70
379,108000,985.727301362367,0,7.0,0.70
380,108500,1270.3255500936054,0,10.0,0.70
381,109000,1449.902003275383,0,6.0,0.70
382,108900,1207.2693106782874,0,7.0,0.70
383,108100,941.1925877038709,0,9.0,0.70
384,109800,1711.408088448429,0,6.0,0.70
385,109300,1711.8134127794153,0,4.0,0.70
386,109500,1770.5509600833852,0,5.0,0.70
387,108200,646.9730971949306,0,8.0,0.70
388,108600,1636.1909796882965,0,6.0,0.70
389,109200,425.20627096007127,0,3.0,0.70
390,109600,1262.692872709682,0,4.0,0.70
391,110000,1173.912918041147,0,3.0,0.70
392,107700,1292.7536069028554,0,7.0,0.70
393,110300,952.6978639905116,0,3.0,0.70
394,110200,,0,1.0,0.70
395,110800,2071.967965901305,0,5.0,0.70
396,109900,373.1147898203041,0,3.0,0.70
397,110500,1788.4592749473902,0,3.0,0.70
398,109400,92.12827960818791,0,2.0,0.70
399,109100,851.078838290078,0,3.0,0.70
400,110400,,0,1.0,0.70
401,109700,,0,1.0,0.70
402,110100,1364.246524593155,0,2.0,0.70
403,111500,1759.9203999450835,0,4.0,0.70
404,110600,1346.8782142802604,0,2.0,0.70
405,112400,,0,1.0,0.70
406,111600,,0,1.0,0.70
407,111400,,0,1.0,0.70
408,111700,,0,1.0,0.70
409,112000,,0,1.0,0.70
410,112100,,0,1.0,0.70
411,108800,1378.1452351768007,0,4.0,0.70
412,111000,2161.5259931961714,0,2.0,0.70
413,111800,,0,1.0,0.70
414,111200,,0,1.0,0.70
415,111300,,0,1.0,0.70
416,110700,,0,1.0,0.70
417,67700,,1,1.0,0.80
418,70100,,1,1.0,0.80
419,69500,,1,1.0,0.80
420,70900,,1,1.0,0.80
421,71200,,1,1.0,0.80
422,71300,,1,1.0,0.80
423,71900,,1,1.0,0.80
424,70800,,1,1.0,0.80
425,74800,2038.5834803469756,1,3.0,0.80
426,71400,1576.1962579820947,1,2.0,0.80
427,73500,,1,1.0,0.80
428,72400,,1,1.0,0.80
429,74400,,1,1.0,0.80
430,73400,,1,1.0,0.80
431,74500,741.6945296613626,1,3.0,0.80
432,74700,,1,1.0,0.80
433,75200,,1,1.0,0.80
434,75600,,1,1.0,0.80
435,76200,1441.0182299196547,1,3.0,0.80
436,75300,2613.6144076023897,1,3.0,0.80
437,76000,,1,1.0,0.80
438,77100,1063.2013367747104,1,2.0,0.80
439,75900,,1,1.0,0.80
440,76300,1195.8871315588353,1,4.0,0.80
441,76100,,1,1.0,0.80
442,76700,1157.0310920751285,1,2.0,0.80
443,76900,521.072533847831,1,3.0,0.80
444,77800,494.7040575159103,1,2.0,0.80
445,78000,3627.064971437261,1,3.0,0.80
446,77400,,1,1.0,0.80
447,76800,655.7085347965058,1,5.0,0.80
448,77300,343.89522416197644,1,5.0,0.80
449,78400,910.4518255469894,1,8.0,0.80
450,78800,1379.7183529959111,1,5.0,0.80
451,78100,1460.4287566468167,1,5.0,0.80
452,77900,1228.7272833451495,1,3.0,0.80
453,78300,1544.366329502337,1,4.0,0.80
454,77600,75.3897362722876,1,2.0,0.80
455,79100,1060.1110815516827,1,4.0,0.80
456,78500,1546.1185088406774,1,3.0,0.80
457,81700,1871.3527606738917,1,4.0,0.80
458,77500,716.3933579100589,1,4.0,0.80
459,80500,1609.8486914005618,1,5.0,0.80
460,79700,1470.8432434958497,1,10.0,0.80
461,79200,1229.804600332064,1,8.0,0.80
462,78900,250.76606143768683,1,4.0,0.80
463,77700,2111.5833781921697,1,3.0,0.80
464,80100,1527.725835272634,1,9.0,0.80
465,78600,1156.9005461341958,1,7.0,0.80
466,80000,1431.4728626510346,1,5.0,0.80
467,78200,655.7738349859508,1,3.0,0.80
468,79000,210.2261606097974,1,2.0,0.80
469,80300,858.4623244037297,1,5.0,0.80
470,80200,1762.3267123077972,1,8.0,0.80
471,81800,1728.1095745626299,1,7.0,0.80
472,79500,1562.940100172132,1,5.0,0.80
473,80700,1157.1679614469754,1,3.0,0.80
474,78700,1533.296715485462,1,5.0,0.80
475,81300,1395.7618305253732,1,9.0,0.80
476,79900,1339.6152564869503,1,5.0,0.80
477,79300,,1,1.0,0.80
478,82200,1452.0612835507484,1,8.0,0.80
479,81600,1189.3959464575335,1,9.0,0.80
480,82100,1179.348027879902,1,8.0,0.80
481,80800,1006.5223301994772,1,5.0,0.80
482,81400,1039.0700764438297,1,5.0,0.80
483,80900,1517.1972995521146,1,6.0,0.80
484,81500,1175.5499747105573,1,4.0,0.80
485,81100,1119.7674686732623,1,3.0,0.80
486,82400,895.8623820614266,1,5.0,0.80
487,82300,1908.6280290825812,1,8.0,0.80
488,81000,1247.2343771018184,1,6.0,0.80
489,82800,1032.7105891787226,1,11.0,0.80
490,83300,1385.7036580666024,1,12.0,0.80
491,83500,1299.0117832749045,1,12.0,0.80
492,85200,1670.785550363481,1,11.0,0.80
493,83200,682.6752121745642,1,12.0,0.80
494,84400,1243.578692558716,1,9.0,0.80
495,83800,1251.4799255289201,1,10.0,0.80
496,82500,1803.9032078730293,1,7.0,0.80
497,83400,1221.3941661389413,1,12.0,0.80
498,83600,1298.336713792594,1,20.0,0.80
499,84200,1431.8809345484428,1,11.0,0.80
500,84700,1374.9554467846874,1,18.0,0.80
501,84500,904.7304150649642,1,13.0,0.80
502,84000,1016.6888759277431,1,12.0,0.80
503,82700,742.8427464013795,1,4.0,0.80
504,84100,1115.5186328259394,1,18.0,0.80
505,84300,1404.8251554971384,1,14.0,0.80
506,85800,1161.477121459973,1,17.0,0.80
507,83900,962.2012088658662,1,14.0,0.80
508,83100,874.0400254812384,1,11.0,0.80
509,84800,699.113639106099,1,8.0,0.80
510,85500,1226.510491406657,1,21.0,0.80
511,84600,1493.7512220146466,1,14.0,0.80
512,85400,1297.9900000047398,1,16.0,0.80
513,85100,1339.7387565445083,1,17.0,0.80
514,85300,1061.764633963556,1,14.0,0.80
515,85000,1720.1639808535501,1,10.0,0.80
516,84900,734.896601840893,1,13.0,0.80
517,83700,1069.4043387550093,1,14.0,0.80
518,72900,,1,1.0,0.80
519,77000,183.9416757278787,1,2.0,0.80
520,79400,2060.376639650333,1,3.0,0.80
521,82600,927.6580585423484,1,9.0,0.80
522,81900,548.8506429380077,1,7.0,0.80
523,82900,1421.1556298523114,1,11.0,0.80
524,86700,1400.5529354677278,1,22.0,0.80
525,86400,1487.938370402195,1,19.0,0.80
526,86800,1214.590800805721,1,28.0,0.80
527,86600,1204.3958373319301,1,18.0,0.80
528,87000,1178.4447889257342,1,19.0,0.80
529,88300,1319.6308114836297,1,25.0,0.80
530,85900,1265.7331146706251,1,16.0,0.80
531,87100,998.4117892478882,1,16.0,0.80
532,86500,1383.8131291946277,1,11.0,0.80
533,86200,1435.9705156034906,1,12.0,0.80
534,88700,1377.7416639556714,1,21.0,0.80
535,87200,913.5926017940468,1,25.0,0.80
536,87600,767.4984615502417,1,18.0,0.80
537,87700,994.4515201426336,1,22.0,0.80
538,87800,1221.8163110711648,1,26.0,0.80
539,87400,1195.961846470872,1,26.0,0.80
540,88500,1540.3519861359518,1,32.0,0.80
541,88000,1104.3498878702687,1,24.0,0.80
542,88200,1345.1808410285541,1,22.0,0.80
543,88600,1005.613466647422,1,23.0,0.80
544,88100,1229.7768646150905,1,24.0,0.80
545,88900,1431.6405092038058,1,34.0,0.80
546,93000,1475.764509640354,1,51.0,0.80
547,88800,1040.4837798745848,1,32.0,0.80
548,89700,990.2728988137948,1,45.0,0.80
549,89800,925.5980412576266,1,30.0,0.80
550,89200,1018.5416756858426,1,26.0,0.80
551,90300,1009.7203703987119,1,25.0,0.80
552,90100,1309.7780245023494,1,36.0,0.80
553,90500,1147.5512560277236,1,26.0,0.80
554,90000,1302.046197497649,1,39.0,0.80
555,90400,987.8059118309731,1,37.0,0.80
556,90700,1483.8369026785288,1,36.0,0.80
557,90800,1288.3116429109073,1,33.0,0.80
558,90600,1225.6796209443162,1,32.0,0.80
559,90200,1172.1332945411984,1,34.0,0.80
560,91900,1248.2751137622836,1,63.0,0.80
561,91500,1056.3245127744997,1,46.0,0.80
562,90900,1292.2135632006339,1,38.0,0.80
563,91100,1236.902572698994,1,50.0,0.80
564,89500,1422.3568938703138,1,34.0,0.80
565,92000,1268.7585910845778,1,47.0,0.80
566,93700,1402.9824332961452,1,64.0,0.80
567,93400,1235.6695002935066,1,53.0,0.80
568,92600,1029.9393586071847,1,41.0,0.80
569,91300,1080.6345660271888,1,37.0,0.80
570,91600,1111.661114687927,1,42.0,0.80
571,92300,1397.1537861325385,1,42.0,0.80
572,91700,1142.706554224207,1,54.0,0.80
573,91000,1236.502949387503,1,48.0,0.80
574,89900,928.062730255109,1,24.0,0.80
575,91400,1283.243999078664,1,31.0,0.80
576,92200,1042.3299128893834,1,50.0,0.80
577,91200,781.7247098753066,1,29.0,0.80
578,91800,1100.9740662506335,1,39.0,0.80
579,93100,1169.1914887032815,1,57.0,0.80
580,92400,1161.6059482767419,1,47.0,0.80
581,94100,1209.0501661316032,1,60.0,0.80
582,93800,1496.8599021026096,1,38.0,0.80
583,92700,1032.6263156703235,1,49.0,0.80
584,93500,1322.0240104016077,1,59.0,0.80
585,94600,1235.6533322153837,1,64.0,0.80
586,93200,979.6689071207583,1,75.0,0.80
587,92900,1416.7719881215924,1,57.0,0.80
588,94300,1074.3688609484602,1,68.0,0.80
589,94500,1190.209671737018,1,59.0,0.80
590,94400,1143.9940776825056,1,52.0,0.80
591,94800,1322.6776997871214,1,73.0,0.80
592,95000,1172.36982572634,1,60.0,0.80
593,95400,1377.384755578412,1,60.0,0.80
594,93300,1263.2413714365116,1,56.0,0.80
595,92500,1121.508034242241,1,46.0,0.80
596,94000,886.6352840449185,1,58.0,0.80
597,94700,1328.508155551531,1,56.0,0.80
598,92800,1118.9788340570037,1,38.0,0.80
599,79600,1492.9028291941079,1,6.0,0.80
600,80600,1201.490508828502,1,4.0,0.80
601,85700,1738.947141310574,1,6.0,0.80
602,87300,1326.3935066850029,1,12.0,0.80
603,89000,825.691236948362,1,28.0,0.80
604,89300,1036.3062936646231,1,20.0,0.80
605,89400,989.35335445502,1,28.0,0.80
606,89600,1318.0472568845166,1,37.0,0.80
607,93600,1254.0294142360049,1,48.0,0.80
608,93900,1284.506980899561,1,61.0,0.80
609,95300,1096.4661966661456,1,93.0,0.80
610,95200,1191.673555264299,1,67.0,0.80
611,95700,1333.1757929507603,1,77.0,0.80
612,96600,1104.5146316493162,1,93.0,0.80
